id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_walking mov_other mov_swimming log_mass
0 1 0 0 1 0 0 0 -0.8027194418743807
1 1 0 0 0 1 0 0 -2.958607314841775
2 1 0 0 1 0 0 0 -1.1864190114318078
3 0 1 0 1 0 0 0 -3.6420651529995465
4 0 0 1 0 0 0 1 0.9242792860618817
5 1 0 0 1 0 0 0 -2.008773924307505
6 1 0 0 0 1 0 0 0.4677560512440329
7 1 0 0 0 1 0 0 -2.5686362358410126
8 1 0 0 0 0 0 1 -2.537602002101044
9 1 0 0 0 1 0 0 -1.530177984021837
10 1 0 0 0 0 0 1 -2.744727494896694
11 1 0 0 0 1 0 0 -1.301029995663981
12 1 0 0 0 1 0 0 -3.154901959985743
13 1 0 0 0 1 0 0 -1.449771646944906
14 1 0 0 0 1 0 0 -0.6777807052660807
15 1 0 0 0 1 0 0 -2.677780705266081
16 1 0 0 0 1 0 0 -2.6382721639824074
17 1 0 0 0 1 0 0 -2.0
18 1 0 0 0 1 0 0 -2.744727494896694
19 0 1 0 1 0 0 0 -3.6420651529995465
20 0 1 0 1 0 0 0 -3.6420651529995465
21 0 1 0 1 0 0 0 -3.6420651529995465
22 1 0 0 0 1 0 0 1.2250506961380487
23 0 1 0 1 0 0 0 -3.6420651529995465
24 0 1 0 1 0 0 0 -3.6420651529995465
25 0 1 0 1 0 0 0 -3.6420651529995465
26 0 1 0 1 0 0 0 -3.6420651529995465
27 0 1 0 1 0 0 0 -3.6420651529995465
28 0 1 0 1 0 0 0 -3.6420651529995465
29 0 1 0 1 0 0 0 -3.6420651529995465
30 1 0 0 1 0 0 0 -2.0
31 1 0 0 0 1 0 0 -3.3010299956639813
32 1 0 0 0 1 0 0 -3.0457574905606752
33 1 0 0 1 0 0 0 -1.632644078973981
34 1 0 0 1 0 0 0 -2.2676062401770314
35 0 1 0 1 0 0 0 -3.6420651529995465
36 1 0 0 1 0 0 0 -2.1023729087095586
37 0 1 0 0 0 1 0 -4.0
38 1 0 0 1 0 0 0 -2.0
39 1 0 0 1 0 0 0 -2.0
40 1 0 0 0 0 0 1 -3.0
41 1 0 0 1 0 0 0 -1.5575202309355514
42 1 0 0 0 1 0 0 -2.6989700043360187
43 0 1 0 1 0 0 0 -3.6420651529995465
44 0 1 0 1 0 0 0 -3.6420651529995465
45 1 0 0 1 0 0 0 -2.3979400086720375
46 0 1 0 1 0 0 0 -3.6420651529995465
47 0 1 0 1 0 0 0 -3.6420651529995465
48 1 0 0 0 1 0 0 -2.3665315444204134
