id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 1 0 0 0 0 1 0 -3.0
1 1 0 0 0 0 0 1 -2.886056647693163
2 0 1 0 0 0 1 0 -3.642065152999546
3 0 0 1 1 0 0 0 -0.06550154875643228
4 1 0 0 0 0 0 1 -0.6556077263148893
5 1 0 0 0 0 0 1 -1.0705810742857074
6 1 0 0 0 0 0 1 0.22271647114758328
7 1 0 0 0 0 0 1 -2.6020599913279625
8 1 0 0 1 0 0 0 -2.8239087409443187
9 1 0 0 0 0 0 1 -3.154901959985743
10 1 0 0 0 0 0 1 -2.0
11 1 0 0 0 0 0 1 0.7558748556724914
12 1 0 0 0 0 0 1 -2.1804560644581312
13 1 0 0 1 0 0 0 -3.0
14 1 0 0 0 0 0 1 -0.9999999999999999
15 0 0 1 1 0 0 0 0.0
16 1 0 0 1 0 0 0 -1.8538719643217618
17 1 0 0 0 0 0 1 -3.0969100130080562
18 1 0 0 0 0 0 1 -2.0
19 0 1 0 0 0 1 0 -3.642065152999546
20 0 1 0 0 0 1 0 -3.642065152999546
21 0 1 0 0 0 1 0 -3.642065152999546
22 1 0 0 0 0 1 0 -2.0
23 0 1 0 0 0 1 0 -3.642065152999546
24 0 1 0 0 0 1 0 -3.642065152999546
25 0 1 0 0 0 1 0 -3.642065152999546
26 0 1 0 0 0 1 0 -3.642065152999546
27 1 0 0 0 0 0 1 0.04139268515822507
28 0 1 0 0 0 1 0 -3.642065152999546
29 0 1 0 0 0 1 0 -3.642065152999546
30 1 0 0 0 0 1 0 -2.0
31 0 1 0 0 0 1 0 -3.642065152999546
32 1 0 0 0 0 1 0 0.38381536598043126
33 0 1 0 0 0 1 0 -3.642065152999546
34 0 1 0 0 1 0 0 -4.0
35 1 0 0 0 0 1 0 -2.0
36 1 0 0 0 0 1 0 -2.0
37 1 0 0 0 0 1 0 -2.6989700043360187
38 1 0 0 1 0 0 0 -3.0
39 0 1 0 0 0 1 0 -3.642065152999546
40 0 1 0 0 0 1 0 -3.642065152999546
41 1 0 0 0 0 1 0 -0.3160528692484879
42 0 1 0 0 0 1 0 -3.642065152999546
43 0 1 0 0 0 1 0 -3.642065152999546
44 0 1 0 0 0 1 0 -3.642065152999546
45 0 1 0 0 0 1 0 -3.642065152999546
