id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 1 0 0 0 0 1 0 -2.958607314841775
1 1 0 0 1 0 0 0 -2.4436974992327127
2 1 0 0 0 0 0 1 -2.0
3 0 0 1 0 0 1 0 0.13033376849500622
4 1 0 0 0 0 0 1 1.6238692683503024
5 1 0 0 0 0 0 1 -0.07417242537525769
6 0 1 0 1 0 0 0 -3.642065152999546
7 1 0 0 0 0 0 1 -2.0
8 1 0 0 1 0 0 0 -1.91721462968355
9 1 0 0 0 0 1 0 -3.154901959985743
10 1 0 0 0 0 0 1 0.6019514041335217
11 1 0 0 0 0 0 1 -2.6989700043360187
12 1 0 0 0 0 0 1 -1.5934598195660448
13 1 0 0 0 0 0 1 -0.6777807052660807
14 1 0 0 0 0 0 1 -2.4814860601221125
15 0 1 0 1 0 0 0 -3.642065152999546
16 0 1 0 1 0 0 0 -3.642065152999546
17 1 0 0 1 0 0 0 -2.0
18 1 0 0 0 0 0 1 -2.214670164989233
19 0 1 0 1 0 0 0 -3.642065152999546
20 0 1 0 1 0 0 0 -3.642065152999546
21 0 1 0 1 0 0 0 -3.642065152999546
22 0 1 0 1 0 0 0 -3.642065152999546
23 0 1 0 1 0 0 0 -3.642065152999546
24 0 1 0 1 0 0 0 -3.642065152999546
25 0 0 1 0 0 1 0 -0.09151498112135016
26 0 1 0 1 0 0 0 -3.642065152999546
27 0 1 0 1 0 0 0 -3.642065152999546
28 1 0 0 0 0 0 1 -2.585026652029182
29 1 0 0 0 0 0 1 -3.6989700043360187
30 0 1 0 1 0 0 0 -3.642065152999546
31 0 1 0 1 0 0 0 -3.642065152999546
32 1 0 0 1 0 0 0 -3.3010299956639813
33 0 1 0 0 1 0 0 -4.0
34 1 0 0 1 0 0 0 -2.0
35 1 0 0 1 0 0 0 0.9912260756924949
36 1 0 0 1 0 0 0 -2.0
37 1 0 0 1 0 0 0 -2.0
38 1 0 0 1 0 0 0 2.6765107102825536
39 1 0 0 1 0 0 0 1.714329759745233
40 1 0 0 0 0 1 0 -3.0
41 1 0 0 0 0 0 1 -2.318758762624413
42 0 1 0 1 0 0 0 -3.642065152999546
43 0 1 0 1 0 0 0 -3.642065152999546
44 0 1 0 1 0 0 0 -3.642065152999546
45 0 1 0 1 0 0 0 -3.642065152999546
46 1 0 0 0 0 0 1 -2.4559319556497243
